Timestamp,Condition
08-04-2022 08:47:37,Yawn
08-04-2022 08:47:40,Sleep
08-04-2022 08:47:42,Yawn
08-04-2022 08:47:44,Sleep
08-04-2022 08:47:47,Sleep
08-04-2022 08:48:03,Yawn
08-04-2022 08:48:06,Yawn
08-04-2022 08:48:09,Yawn
08-04-2022 08:48:11,Sleep
08-04-2022 08:48:13,Sleep
08-04-2022 08:51:10,Yawn
08-04-2022 08:59:32,Yawn
08-04-2022 08:59:38,Yawn
08-04-2022 08:59:41,Sleep
08-04-2022 08:59:44,Sleep
08-04-2022 09:03:50,Yawn
08-04-2022 09:03:53,Sleep
08-04-2022 09:03:57,Sleep
08-04-2022 09:04:01,Yawn
08-04-2022 09:04:04,Sleep
08-04-2022 09:04:07,Yawn
08-04-2022 09:04:09,Sleep
08-04-2022 09:04:13,Yawn
08-04-2022 09:04:36,Sleep
08-04-2022 09:05:07,Yawn
08-04-2022 09:05:10,Sleep
08-04-2022 09:05:13,Sleep
08-04-2022 09:05:20,Sleep
08-04-2022 09:06:15,Yawn
08-04-2022 09:06:30,Yawn
08-04-2022 09:06:31,Sleep
08-04-2022 09:06:33,Sleep
08-04-2022 09:06:36,Sleep
08-04-2022 09:06:40,Yawn
08-04-2022 09:06:43,Yawn
08-04-2022 09:06:45,Sleep
27-02-2023 22:25:10,Sleep
27-02-2023 22:25:19,Yawn
27-02-2023 22:25:23,Yawn
27-02-2023 22:29:03,Sleep
27-02-2023 22:31:22,Sleep
27-02-2023 22:31:36,Sleep
27-02-2023 22:45:05,Yawn
27-02-2023 22:45:13,Sleep
27-02-2023 22:55:46,Yawn
27-02-2023 22:55:51,Sleep
27-02-2023 23:01:01,Sleep
27-02-2023 23:01:06,Sleep
27-02-2023 23:01:11,Sleep
28-02-2023 12:06:00,Sleep
28-02-2023 12:06:03,Sleep
28-02-2023 12:06:09,Yawn
28-02-2023 12:06:11,Sleep
28-02-2023 12:06:42,Sleep
28-02-2023 12:06:44,Sleep
28-02-2023 12:06:46,Sleep
28-02-2023 12:06:56,Sleep
28-02-2023 12:07:25,Sleep
28-02-2023 12:07:26,Sleep
28-02-2023 12:07:33,Yawn
28-02-2023 12:07:40,Sleep
28-02-2023 12:07:54,Sleep
28-02-2023 12:08:04,Sleep
28-02-2023 12:08:08,Sleep
28-02-2023 12:08:13,Sleep
28-02-2023 12:08:24,Yawn
28-02-2023 12:09:59,Sleep
28-02-2023 12:10:00,Sleep
28-02-2023 12:10:06,Sleep
28-02-2023 12:10:07,Sleep
28-02-2023 12:10:19,Sleep
28-02-2023 12:10:19,Yawn
28-02-2023 12:10:23,Sleep
28-02-2023 12:10:26,Sleep
28-02-2023 13:07:04,Yawn
02-03-2023 11:22:19,Sleep
02-03-2023 11:22:30,Yawn
04-03-2023 11:34:35,Sleep
07-03-2023 12:31:10,Sleep
07-03-2023 12:31:18,Sleep
07-03-2023 12:31:23,Sleep
07-03-2023 12:31:25,Sleep
07-03-2023 12:31:28,Sleep
07-03-2023 12:35:22,Sleep
07-03-2023 12:35:33,Sleep
07-03-2023 12:39:09,Sleep
07-03-2023 12:39:14,Sleep
07-03-2023 12:40:12,Sleep
07-03-2023 12:46:16,Sleep
07-03-2023 21:46:26,Sleep
07-03-2023 21:46:33,Sleep
10-03-2023 16:32:48,Sleep
10-03-2023 16:32:50,Sleep
10-03-2023 16:32:58,Sleep
15-03-2023 16:03:52,sleep
15-03-2023 16:05:15,Yawn
15-03-2023 16:05:57,sleep
15-03-2023 16:07:06,Yawn
15-03-2023 16:07:14,Yawn
15-03-2023 16:08:13,sleep
15-03-2023 16:08:48,sleep
15-03-2023 16:09:15,sleep
15-03-2023 16:09:31,sleep
18-03-2023 14:28:27,sleep
18-03-2023 14:28:59,sleep
26-03-2023 10:58:20,sleep
26-03-2023 10:58:36,sleep
04-04-2023 18:59:31,Yawn
04-04-2023 18:59:48,Yawn
04-04-2023 19:00:07,sleep
04-04-2023 19:18:28,Yawn
04-04-2023 19:19:59,Yawn
04-04-2023 19:21:37,Yawn
27-04-2023 20:51:46,Yawn
27-04-2023 20:52:15,Yawn
27-04-2023 20:56:19,Yawn
28-04-2023 19:54:16,sleep
28-04-2023 19:54:28,Yawn
30-04-2023 17:17:03,Yawn
30-04-2023 17:17:27,Yawn
01-05-2023 12:54:30,Yawn
01-05-2023 12:55:52,Yawn
01-05-2023 12:55:55,Yawn
01-05-2023 12:57:15,Yawn
01-05-2023 12:58:24,sleep
01-05-2023 12:59:29,sleep
01-05-2023 12:59:34,sleep
01-05-2023 17:07:03,sleep
01-05-2023 17:07:18,sleep
01-05-2023 17:07:28,sleep
01-05-2023 17:07:48,sleep
01-05-2023 17:08:07,sleep
01-05-2023 17:08:19,sleep
01-05-2023 21:46:40,sleep
01-05-2023 21:46:51,sleep
01-05-2023 21:47:02,sleep
01-05-2023 21:49:27,sleep
01-05-2023 21:49:37,sleep
01-05-2023 21:50:00,sleep
01-05-2023 21:50:43,sleep
01-05-2023 21:50:56,sleep
01-05-2023 21:51:01,sleep
02-05-2023 00:37:25,sleep
02-05-2023 00:37:30,sleep
02-05-2023 00:37:34,Yawn
02-05-2023 00:37:36,sleep
02-05-2023 00:37:52,Yawn
02-05-2023 00:38:04,sleep
02-05-2023 00:41:31,Yawn
02-05-2023 00:41:46,sleep
02-05-2023 00:43:47,sleep
02-05-2023 00:44:03,sleep
02-05-2023 00:44:18,sleep
02-05-2023 00:44:40,sleep
02-05-2023 00:44:53,sleep
02-05-2023 00:45:05,Yawn
02-05-2023 00:45:14,sleep
02-05-2023 01:13:59,sleep
02-05-2023 01:19:34,Yawn
02-05-2023 01:19:43,sleep
02-05-2023 01:19:51,sleep
02-05-2023 14:44:10,Yawn
02-05-2023 14:44:28,Yawn
02-05-2023 14:44:51,sleep
02-05-2023 14:44:58,sleep
02-05-2023 14:44:59,Yawn
02-05-2023 14:45:13,sleep
02-05-2023 14:52:37,Yawn
02-05-2023 14:53:11,Yawn
02-05-2023 14:53:13,sleep
02-05-2023 14:53:16,Yawn
02-05-2023 14:53:27,sleep
02-05-2023 14:53:38,sleep
